,trn,tst,oot
0,0.7449139280125195,0.7213740458015268,0.3291139240506329
1,0.7616099071207431,0.6588235294117647,0.37341772151898733
2,0.7392638036809815,0.6867469879518072,0.35443037974683544
3,0.7198697068403909,0.6585365853658537,0.36075949367088606
4,0.7390625,0.685823754789272,0.34177215189873417
5,0.744408945686901,0.6763636363636364,0.33544303797468356
6,0.7520391517128875,0.6840277777777778,0.36075949367088606
7,0.7339743589743589,0.6787003610108303,0.31645569620253167
8,0.740506329113924,0.620817843866171,0.379746835443038
9,0.759170653907496,0.656934306569343,0.33544303797468356
10,0.731437598736177,0.6567164179104478,0.379746835443038
11,0.7388724035608308,0.6696035242290749,0.3670886075949367
12,0.7579113924050633,0.6617100371747212,0.34810126582278483
13,0.7372742200328407,0.678082191780822,0.35443037974683544
14,0.7411575562700965,0.6594982078853047,0.36075949367088606
15,0.7429906542056075,0.6640926640926641,0.35443037974683544
16,0.7588424437299035,0.6523297491039427,0.34177215189873417
17,0.7427652733118971,0.6953405017921147,0.34810126582278483
18,0.7353407290015848,0.6259259259259259,0.35443037974683544
19,0.731629392971246,0.72,0.35443037974683544
20,0.7484567901234568,0.6758893280632411,0.35443037974683544
21,0.7472698907956318,0.6653846153846154,0.36075949367088606
22,0.7538461538461538,0.6653386454183267,0.33544303797468356
23,0.7307692307692307,0.6642599277978339,0.31645569620253167
24,0.7253634894991923,0.7163120567375887,0.34177215189873417
25,0.7444794952681388,0.6629213483146067,0.33544303797468356
26,0.7643410852713178,0.6171875,0.3924050632911392
27,0.7265625,0.7049808429118773,0.3670886075949367
28,0.7523961661341853,0.6472727272727272,0.37341772151898733
29,0.7644230769230769,0.6570397111913358,0.379746835443038
